"species","ch"
"FOR","00U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"MAG","00U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00I00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00I00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000U000000000000000000000000000000000000U000000000000000000000000000000000000000000000000000000000000000"
"FOR","000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000U0000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000I000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAL","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000I00U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000U0000000000000000000000000000000U0000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000I000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000R0"
"CRA","0000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000U000000000000"
"CRA","0000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000R0000000"
"CRA","0000R000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000U000000000000000"
"CRA","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"OLI","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAL","0000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000I00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","00000U0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000I00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000U000000000000000000000000000000000000000000000000000000000000000000000000R0000000000000000000000000"
"GAMO","00000UU0000000UU0000000000000000U0000000000000000U0000U00000000000000000000000000000000000000000U0000000"
"FUL","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000I000000000000"
"FOR","00000U000000000000000000000000000000000000000000000000000U0000000000000000000000000000000000000000000000"
"FOR","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000I00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000I00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
