"species","ch"
"PAL","0000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","00000A0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000A000000000000000000000000000000000000000000000000000000000000000000000000A0000000000000000000000000"
"GAMO","00000AA0000000AA0000000000000000A0000000000000000A0000A00000000000000000000000000000000000000000A0000000"
"FUL","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000B000000000000"
"FOR","00000A000000000000000000000000000000000000000000000000000A0000000000000000000000000000000000000000000000"
"FOR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000A00000000000000000000000000000000000000000000000000000000000000000000000000000A0000000000000000000"
"CRA","000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000A0000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000B000000000000000"
"CRA","00000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000A000000000000000000000000000000000000000000000000000000000000000A0000000000000000000000000000000"
"CRA","00000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000A000000A000000000A0000A0000AA000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000B0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000B0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000A0000000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000B0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000A00000000000"
"CRA","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000A00000000000000000000000000000000000000000000000000A000000000000000000000000A000000000000000000"
"SCA","0000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000000000A00A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000A0000000000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000A000000"
"SCA","00000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000000A000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000A000000000000000000000000000000000000000000000000000000000000A0000000000000000000000000000000"
"FOR","00000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","00000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","000000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000000A00000000000000000000000000000000000000000000000000000000000000000000A0000000000000000000000"
"SCA","000000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"MAG","0000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","0000000000000B000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","0000000000000B000B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","0000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000000A00A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","00000000000000A0000000A0000000000000000000000A0000000000000000000000000000000000000000000000000000000000"
"SCA","00000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"MYI","000000000000000A00A00000A00A0000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000000000A000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000000000A000000000000000A000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000000B000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000000000000000B000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","0000000000000000B000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000000000B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000000000B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
